round,numA,numB,numC,numD
1,7,8,1,5
2,8,7,0,5
3,7,2,1,1
4,0,3,1,7
5,1,9,6,2
6,4,8,5,5
7,2,6,1,7
8,6,6,5,1
9,3,9,5,9
10,9,7,8,8
11,8,2,9,7
12,3,4,6,6
13,6,6,5,5
14,0,1,2,0
15,2,3,7,1
16,1,6,7,9
17,6,6,0,2
18,2,6,1,3
19,2,7,8,4
20,6,0,8,3
21,2,8,0,6
22,3,1,5,9
23,5,6,5,8
24,3,0,8,4
25,2,5,5,8
26,2,9,5,4
27,8,9,7,7
28,3,7,1,2
29,0,0,4,8
30,2,4,9,4
31,7,2,1,1
32,5,1,5,8
33,6,9,8,7
34,9,2,6,2
35,8,9,9,0
36,7,1,4,3
37,9,8,2,6
38,4,6,4,5
39,9,9,1,8
40,1,7,4,2
41,0,2,4,7
42,7,9,0,6
43,1,2,4,6
44,7,4,9,4
45,1,8,8,0
46,8,0,3,4
47,1,3,0,8
48,6,8,4,3
49,0,5,0,3
50,2,7,7,6
51,1,3,6,0
52,7,4,2,1
53,9,8,9,4
54,6,7,7,6
55,2,3,6,2
56,0,2,9,9
57,8,1,2,7
58,1,1,7,0
59,4,9,5,2
60,7,4,5,2
61,4,5,8,6
62,5,1,0,3
63,1,8,9,9
64,9,0,9,8
65,2,7,7,4
66,8,1,6,4
67,3,8,9,9
68,8,4,4,6
69,8,0,9,2
70,2,9,0,3
71,2,7,9,9
72,8,7,6,6
73,0,1,7,9
74,4,6,4,7
75,2,1,7,5
76,9,7,6,0
77,5,2,4,1
78,3,4,1,6
79,2,2,4,7
80,9,3,3,4
81,1,1,2,1
82,9,7,9,3
83,5,8,6,7
84,2,8,8,2
85,8,0,7,1
86,8,5,4,9
87,7,1,6,9
88,3,0,9,0
89,3,8,0,5
90,0,3,6,9
91,5,2,9,4
92,9,5,6,6
93,5,0,6,9
94,3,7,9,3
95,1,2,2,6
96,5,8,9,7
97,5,6,7,7
98,5,0,5,4
99,1,6,9,7
100,7,4,2,5
101,5,5,1,7
102,4,5,3,7
103,3,2,9,5
104,7,7,8,0
105,8,5,9,7
